J.J. Abrams 
Ben Affleck 
Woody Allen 
Pedro Almodóvar 
Robert Altman 
Lindsay Anderson 
Michael Anderson 
Paul Thomas Anderson 
Wes Anderson 
Theodoros Angelopoulos 
Jean-Jacques Annaud 
Sathyan Anthikad 
Michelangelo Antonioni 
Judd Apatow 
Andrea Arnold 
Dario Argento 
Darren Aronofsky 
Dorothy Arzner 
Richard Attenborough 
Mario Bava 
Michael Bay 
Ingmar Bergman 
Bernardo Bertolucci 
Luc Besson 
Kathryn Bigelow 
Brad Bird 
Neill Blomkamp 
Don Bluth 
John Boorman 
Danny Boyle 
Catherine Breillat 
Robert Bresson 
Mel Brooks 
Tod Browning 
Luis Buñuel 
Tim Burton 
James Cameron 
Jane Campion 
Frank Capra 
Marcel Carné 
John Carpenter 
John Cassavetes 
Liliana Cavani 
Nuri Bilge Ceylan 
Claude Chabrol 
Charlie Chaplin 
Michael Cimino 
George Clooney 
Henri-Georges Clouzot 
Joel and Ethan Coen 
Chris Columbus 
Francis Ford Coppola 
Sofia Coppola 
Roger Corman 
Wes Craven 
David Cronenberg 
Cameron Crowe 
Alfonso Cuarón 
Michael Curtiz 
Stephen Daldry 
Joe Dante 
Frank Darabont 
Jean-Pierre and Luc Dardenne 
Julie Dash 
Andrew Davis 
Cecil B. DeMille 
Jonathan Demme 
Andrew Dominik 
Stanley Donen 
Carl Theodor Dreyer 
Guru Dutt 
Clint Eastwood 
Sergei Eisenstein 
Roland Emmerich 
Nora Ephron 
Víctor Erice 
William Eubank 
Asghar Farhadi 
Rainer Werner Fassbinder 
Federico Fellini 
Todd Field 
David Fincher 
Victor Fleming 
John Ford 
Miloš Forman 
John Frankenheimer 
William Friedkin 
Kinji Fukasaku 
Lucio Fulci 
Samuel Fuller 
Ritwik Ghatak 
Mel Gibson 
Lewis Gilbert 
Terry Gilliam 
Jean-Luc Godard 
Michel Gondry 
Adoor Gopalakrishnan 
Ashutosh Gowariker 
D. W. Griffith 
James Gunn 
Michael Haneke 
Catherine Hardwicke 
Renny Harlin 
Hal Hartley 
Howard Hawks 
Amy Heckerling 
Werner Herzog 
George Roy Hill 
Walter Hill 
Alfred Hitchcock 
Tobe Hooper 
Tom Hooper 
Ron Howard 
John Hughes 
John Huston 
Kon Ichikawa 
Alejandro González Iñárritu 
Miklós Jancsó 
Peter Jackson 
Jim Jarmusch 
Jean-Pierre Jeunet 
Norman Jewison 
Rian Johnson 
Joe Johnston 
Chuck Jones 
Spike Jonze 
Neil Jordan 
Wong Kar-wai 
Elia Kazan 
Buster Keaton 
Abbas Kiarostami 
Krzysztof Kieślowski 
Masaki Kobayashi 
Harmony Korine 
Stanley Kramer 
Stanley Kubrick 
Akira Kurosawa 
Emir Kusturica 
Fritz Lang 
John Lasseter 
David Lean 
Ang Lee 
Spike Lee 
Mike Leigh 
Sergio Leone 
Barry Levinson 
Richard Linklater 
Ken Loach 
Joseph Losey 
George Lucas 
Sidney Lumet 
Ernst Lubitsch 
Baz Luhrmann 
David Lynch 
Kevin Macdonald 
Maria Maggenti 
Samira Makhmalbaf 
Terrence Malick 
Louis Malle 
Joseph L. Mankiewicz 
Michael Mann 
Rob Marshall 
Steve McQueen 
John McTiernan 
Deepa Mehta 
Georges Méliès 
Sam Mendes 
Márta Mészáros 
Takashi Miike 
Anthony Minghella 
Hayao Miyazaki 
Kenji Mizoguchi 
Mario Monicelli 
Michael Moore 
F. W. Murnau 
Mira Nair 
Christopher Nolan 
Frank Oz 
Yasujirō Ozu 
Padmarajan 
Brian De Palma 
Park Chan-Wook 
Sergei Parajanov 
Alan Parker 
Sam Peckinpah 
Arthur Penn 
Sean Penn 
Dadasaheb Phalke 
Roman Polanski 
Sally Potter 
Otto Preminger 
Powell and Pressburger 
Bob Rafelson 
Sam Raimi 
Harold Ramis 
Mani Ratnam 
Nicholas Ray 
Satyajit Ray 
Nicolas Winding Refn 
Rob Reiner 
Ivan Reitman 
Jason Reitman 
Jean Renoir 
Alain Resnais 
Leni Riefenstahl 
Guy Ritchie 
Éric Rohmer 
George A. Romero 
Roberto Rossellini 
Eli Roth 
Bimal Roy 
Gus Van Sant 
John Sayles 
Franklin J. Schaffner 
Volker Schlöndorff 
Ettore Scola 
Martin Scorsese 
Ridley Scott 
Tony Scott 
Shankar 
V. Shantaram 
M. Night Shyamalan 
Vittorio De Sica 
Don Siegel 
Bryan Singer 
Tarsem Singh 
John Singleton 
Robert Siodmak 
Kevin Smith 
Zack Snyder 
Steven Soderbergh 
Paolo Sorrentino 
Steven Spielberg 
Morgan Spurlock 
Sylvester Stallone 
George Stevens 
Oliver Stone 
John Sturges 
Preston Sturges 
István Szabó 
Quentin Tarantino 
Andrei Tarkovsky 
Béla Tarr 
Giuseppe Tornatore 
Guillermo del Toro 
Jacques Tourneur 
Lars von Trier 
Jiří Trnka 
François Truffaut 
Jon Turteltaub 
Jean-Marc Vallée 
Agnès Varda 
Gore Verbinski 
Paul Verhoeven 
King Vidor 
Denis Villeneuve 
Thomas Vinterberg 
Luchino Visconti 
The Wachowskis 
James Wan 
John Waters 
Marc Webb 
Peter Weir 
Orson Welles 
Wim Wenders 
James Whale 
Joss Whedon 
Robert Wiene 
Billy Wilder 
Robert Wise 
Ed Wood 
Edgar Wright 
Joe Wright 
William Wyler 
Edward Yang 
David Yates 
Peter Yates 
Zhang Yimou 
Karel Zeman 
Robert Zemeckis 
Mai Zetterling 
Fred Zinnemann 
